Div ARTEFACT DNA DNA/Academ-1 DNA/CMC-Chapaev DNA/CMC-Chapaev-3 DNA/CMC-EnSpm DNA/CMC-Transib DNA/Crypton-A DNA/Crypton-I DNA/Crypton-V DNA/Ginger-2 DNA/IS3EU DNA/Kolobok-E DNA/Kolobok-Hydra DNA/Kolobok-T2 DNA/MULE-MuDR DNA/MULE-NOF DNA/Maverick DNA/Merlin DNA/P DNA/PIF-Harbinger DNA/PIF-ISL2EU DNA/PIF-Spy DNA/PiggyBac DNA/Sola-1 DNA/Sola-2 DNA/TcMar DNA/TcMar-Fot1 DNA/TcMar-Mariner DNA/TcMar-Pogo DNA/TcMar-Stowaway DNA/TcMar-Tc1 DNA/TcMar-Tc1? DNA/TcMar-Tc4 DNA/TcMar-Tigger DNA/TcMar-m44 DNA/Zisupton DNA/hAT DNA/hAT-Ac DNA/hAT-Blackjack DNA/hAT-Charlie DNA/hAT-Tag1 DNA/hAT-Tip100 DNA/hAT-hAT19 DNA/hAT-hAT5 DNA/hAT-hATm DNA/hAT-hATx LINE LINE/CR1 LINE/Dong-R4 LINE/I LINE/I-Jockey LINE/L1 LINE/L2 LINE/Penelope LINE/R1 LINE/R1-LOA LINE/R2 LINE/RTE-BovB LINE/RTE-RTE LINE/RTE-X LINE/Tad1 LTR/Copia LTR/DIRS LTR/ERV1 LTR/ERVK LTR/Gypsy LTR/Pao LTR/Unknown RC/Helitron Retroposon/L2-derived SINE/5S SINE/5S-Deu SINE/tRNA-Deu-CR1 Simple_repeat Unknown rRNA snRNA tRNA 
30 0 7465 18769 0 37575 11718 19790 0 9768 829 5387 654 69 15456 0 2008 588 88170 1188 512 21735 250 139 16736 10207 53 389 13370 240539 8567 0 624388 98 9991 1195 40149 1241 2031 620 2761 3629 521 49150 131304 769 1321 0 1386 71125 88550 46425 201677 536 44913 106984 37333 100101 0 152938 2717 1972 0 3367 -10 0 2427 331489 8604 3018 6602 0 0 0 22838 0 1472778 689 0 8575 
31 0 10369 13011 0 44365 12765 23376 0 7925 1654 3985 752 81 8359 0 2352 0 32780 878 1363 23759 1570 878 21544 13488 144 236 13199 222762 6280 0 606992 0 12372 553 62990 696 1329 795 718 4012 125 49314 130460 1017 1302 545 587 70530 112480 27357 236803 1053 42308 98524 32861 101339 0 119586 1523 1534 0 6721 0 0 1504 331574 7417 5427 5164 0 224 0 16927 0 1292259 76 0 4989 
32 0 9128 11401 0 37951 16610 17533 135 5252 792 5865 0 201 9139 0 2430 0 61365 1877 2254 29409 909 1313 20927 15046 100 191 6771 223567 5124 199 578430 0 6662 990 61327 1591 2107 3507 2587 5688 0 55197 116188 949 1984 204 464 67478 140601 33298 234319 176 31869 103045 46180 72358 0 123426 5710 2618 0 12672 0 0 706 362757 15503 3073 5939 0 0 0 13477 0 1207230 404 0 2929 
33 0 6881 8975 0 39419 3333 35178 0 5331 1162 5853 0 0 10718 0 3160 1190 83227 240 7207 23873 923 768 24156 24089 0 1090 12014 245140 6247 0 673814 0 7056 899 54037 530 407 1888 2161 9400 109 49621 109965 208 2121 331 264 65004 84410 36287 270374 562 35682 104155 70704 68168 1041 151012 9250 1676 127 12648 0 0 654 446918 28498 3846 10435 0 91 0 11546 0 1170098 410 0 3909 
34 0 6708 12155 0 47458 1406 50810 0 4129 1814 5818 0 116 18062 0 3212 278 107070 622 6608 21357 2642 624 28894 33239 125 81 11648 268575 7768 0 737116 0 5266 1929 39557 994 519 1222 1690 13766 0 49785 104051 542 2168 433 275 78355 66221 27977 288723 333 38428 115013 74017 52123 0 187024 24811 2911 417 13595 0 0 533 440656 34454 1937 7134 0 0 0 8411 0 1367664 181 0 3574 
35 0 5730 13603 0 55008 1349 42612 0 4408 2067 5173 0 0 12916 0 3361 526 198852 85 13985 24671 773 108 48217 36711 0 746 11097 264599 11641 0 857500 0 5208 989 37261 839 503 2487 3659 7101 510 68360 88470 228 3225 217 600 78679 33198 28393 291630 113 38041 108058 102219 40813 0 139018 44315 1013 0 9854 0 0 364 464043 51880 1295 8584 0 75 0 7444 0 1715844 468 0 1291 
36 0 5878 14916 0 59263 2833 19772 0 4922 1936 3161 0 0 18547 0 2866 350 291246 12 6768 26425 902 315 37164 48147 156 685 15906 285215 14132 0 1224038 0 4372 1987 29774 0 240 2618 1940 6336 0 80586 67050 0 4325 102 931 78547 31004 29854 328164 237 35078 102825 127866 29486 814 173434 25932 814 0 14766 119 0 266 498278 61721 738 18220 0 0 0 5816 0 1714559 104 0 812 
37 0 5640 15696 0 66020 2074 16663 0 4874 1665 2389 0 0 17288 0 4029 912 162303 281 9675 26317 1049 323 39008 53423 176 520 14173 249220 11878 0 2185360 0 4990 3553 34899 0 513 4695 1983 4518 260 84133 61855 0 3914 102 60 77640 16358 32159 329948 33 40691 98673 134802 24920 285 187039 40987 821 0 18832 0 0 0 311923 56363 612 6171 0 0 0 4013 0 1428292 0 0 1490 
38 0 3604 16059 0 80107 487 15850 0 4807 4996 2268 614 0 15403 0 4204 0 149506 274 7534 34167 1072 0 60512 55767 0 1517 20655 238625 15324 0 2217955 0 3622 1940 32733 0 139 2909 1398 4241 18 75521 64022 0 5730 0 207 84621 17154 22924 370628 33 34854 91628 124084 17766 0 243272 33266 925 0 38236 0 0 103 206234 74538 340 11550 0 28 0 2529 0 937819 131 0 896 
39 0 4842 13424 0 78610 1181 16660 0 2928 8626 3218 0 0 9656 0 7625 0 87052 56 11767 29171 2932 789 75309 69955 0 269 24489 220388 15158 392 1203540 0 3325 4346 30235 0 0 1382 1737 4893 227 84230 50557 0 3066 0 121 74897 31411 18089 388323 0 40089 72440 120846 14780 910 300153 18957 708 0 15145 0 0 170 200512 87905 0 9235 0 0 0 2274 0 583124 139 0 310 
40 0 4259 18961 0 59172 516 14127 0 3715 8925 1553 0 0 11841 0 4577 1876 82656 0 12627 23375 1582 1280 73803 73467 0 2520 16139 192365 13706 0 847528 0 1540 3244 33920 0 0 1567 3439 7449 0 74688 47930 0 5742 0 450 59600 20899 21780 349744 147 32549 50614 119004 8848 892 217268 8180 380 0 17136 0 0 0 171377 109822 247 5595 0 0 0 1837 0 359440 0 0 659 
41 0 2671 9247 0 59576 155 13273 0 3075 6087 1402 0 0 9973 0 3262 317 54375 0 3933 12966 2114 209 78516 73079 190 2913 19173 151126 6581 0 703039 0 944 2114 24421 103 371 1651 397 4556 0 86758 42211 100 2272 0 0 51896 4993 15036 337663 875 34876 49734 116591 6789 0 180776 15541 239 0 20439 0 0 0 135007 78102 483 10931 0 0 0 889 0 205240 0 0 500 
42 0 811 17129 0 52467 0 11330 0 3407 5302 1676 0 0 7000 0 5255 127 49021 0 747 7813 2434 583 80108 73509 533 3610 23771 110491 5232 0 562104 0 1011 2911 21397 0 0 112 4522 9941 0 59624 40670 0 3221 0 172 49009 4985 14959 294411 0 31024 34262 138681 4738 0 159821 15695 589 0 12212 0 0 0 106232 96753 736 4250 0 0 0 1075 0 155957 0 0 0 
43 0 2852 15037 0 38798 0 7900 0 1494 3040 707 114 0 4648 0 2587 0 39986 0 417 8532 697 759 76332 67443 0 642 18195 72993 3022 0 444615 0 771 2296 7419 0 0 565 0 8085 0 40931 34473 0 2531 0 0 36494 1970 17950 256008 149 17787 24859 154532 5383 540 142342 14269 443 0 13400 0 0 0 109632 68350 0 3989 0 0 0 652 0 109570 0 0 121 
